Stat_ID;Easting_X;Norting_Y;Altitude;Longitude;Latitude;catArea;flowAcc;rel_err[%];row;column;Bl_ID;Start_Date;End_Date;State;data_avail;nxtGage;Station_Name;River;dem_mean;dem_std;dem_min;dem_max;LC-forest;LC-impervious;LC-permeable;WB_from_year;WB_to_year;Qobs[mm_a-1];Precip[mm_a-1];PET[mm_a-1];NSE-Q_v4.3_d;Qsim[mm_a-1];AET[mm_a-1]
9316367;4317750;5410950;246.63;9.52;48.81;418;416.4;0.38;7091;2798;20;1931-11-01;1996-12-31;DE;93.76%;-999;SCHORNDORF;REMS;422.56;97.30;246.12;779.53;41.05;12.23;46.72;1955;1996;374.97;991.51;771.82;0.26;425.69;571.44
9316378;4258450;5383250;408.49;8.73;48.54;144.5;148.8;3;7368;2205;20;1930-11-01;1982-10-31;DE;99.33%;-999;ISELHAUSEN;WALDACH;588.42;57.45;406.55;731.94;38.66;6.01;55.33;1955;1981;302.44;960.44;742.12;0.72;426.19;551.27
9316380;4244750;5338950;-99;8.57;48.14;218.2;205.8;5.69;7811;2068;20;1929-11-01;2007-10-31;DE;99.90%;-999;HOEFEN;ENZ;711.98;46.40;600.51;895.41;33.73;5.88;60.38;1955;2006;705.2;1045.17;755.96;0.56;512;562.05
9316383;4334750;5429950;334.86;9.74;48.99;125.9;124.5;1.1;6901;2968;19;1926-11-01;2007-10-31;DE;99.43%;-999;MITTELROT;FICHTENBERGER-ROT;457.46;45.25;335.39;583.72;54.38;3.95;41.67;1955;2006;455.82;1016.66;771.24;0.54;451.34;565.86
9316389;4361150;5434150;-99;10.1;49.03;329.2;326.5;0.83;6859;3232;28;1929-11-01;1996-10-31;DE;99.76%;-999;JAGSTZELL;JAGST;496.28;37.22;417.04;719.27;36.74;4.84;58.42;1955;1995;267.4;848.31;771.35;0.6;295.77;555.53
9316392;4346550;5456450;304.35;9.9;49.23;816.3;819.7;0.42;6636;3086;28;1965-11-01;1985-10-31;DE;100.00%;-999;ELPERSHOFEN;JAGST;465.58;42.39;303.17;719.27;27.71;4.93;67.36;1966;1984;334.17;835.88;762.77;0.53;300.57;541.11
9316393;4284550;5426550;197.72;9.06;48.94;192.1;194.8;1.42;6935;2466;19;1979-11-01;1996-10-31;DE;100.00%;-999;TALHAUSEN;GLEMS;372.66;63.26;195.06;542.60;27.08;18.91;54.01;1980;1995;161.43;762.7;768.82;-0.91;217.58;543.92
9316394;4248495.92;5338978.41;570.35;8.62;48.14;207.6;219.6;5.77;7811;2105;20;1980-01-01;1980-12-31;DE;100.00%;-999;BUEHLINGEN;ESCHACH;708.94;47.29;570.61;895.41;34.65;5.52;59.83;1980;1980;322.44;1073.76;691.22;0.47;587.14;529.25
9316405;4281950;5559550;104.74;8.95;50.13;921;931;1.09;5605;2440;18;1956-11-01;2007-10-31;DE;99.86%;-999;HANAU;KINZIG;296.80;112.24;104.59;690.04;45.62;6.79;47.59;1957;2006;340.06;908.9;747.53;0.83;376.03;534.37
9316407;4271950;5576950;117.16;8.8;50.28;1072;1075.4;0.32;5431;2340;18;1957-11-01;1995-12-31;DE;100.00%;-999;ILBENSTADT;NIDDA;228.55;97.10;116.90;769.18;31.71;7.91;60.38;1958;1995;184.56;727.13;730.89;0.75;219.13;507.59
9316408;4270750;5582150;127.45;8.78;50.33;183;184.4;0.77;5379;2328;18;1961-11-01;2007-10-31;DE;99.84%;-999;FRIEDBERG;USA;295.45;86.30;125.99;572.71;42.42;10.67;46.91;1962;2006;195.13;720.29;721.43;0.62;223.42;499.17
9316410;4277350;5570550;113.3;8.88;50.23;392.6;379.8;3.26;5495;2394;18;1955-11-01;2007-10-31;DE;99.86%;-999;WINDECKEN;NIDDER;268.85;123.51;116.32;758.03;37.40;5.71;56.89;1956;2006;295.9;842.47;734.83;0.78;317.12;525.62
9316412;4242707.08;5562058.46;186.27;8.4;50.14;108;110.2;2;5580;2048;18;1955-11-01;1995-12-31;DE;97.51%;-999;EPPSTEIN;SCHWARZBACH;374.43;90.13;179.21;769.08;64.09;8.93;26.98;1956;1995;259.21;800.51;683.44;0.71;299.61;500.76
9316414;4339450;5545650;169.38;9.76;50.03;597;597.9;0.14;5744;3015;27;1975-01-01;1995-12-31;DE;100.00%;-999;SACHSENHEIM;WERN;279.77;40.31;162.72;419.90;22.67;4.57;72.76;1975;1995;140.73;667.51;791.01;0.52;165.45;507.73
9316415;4338150;5552750;159.09;9.74;50.09;2131;2126.2;0.22;5673;3002;18;1976-01-01;1978-12-31;DE;99.91%;-999;WOLFSMUENSTER;FRAENKISCHE-SAALE;367.88;115.85;160.57;927.74;39.83;3.64;56.53;1976;1978;179.27;664.46;737.03;-0.34;168.58;473.22
9316418;4330150;5565350;196.17;9.62;50.2;457;471.1;3.07;5547;2922;18;1950-11-01;2007-09-30;DE;99.99%;-999;MITTELSINN;SINN;446.88;123.59;195.71;927.81;65.61;2.91;31.49;1955;2006;400.12;959.57;728.57;0.87;427.73;535.24
9316419;4323550;5546450;174.54;9.54;50.03;220;214.4;2.53;5736;2856;18;1953-11-01;2007-09-30;DE;99.99%;-999;PARTENSTEIN;LOHR;387.66;76.66;176.92;564.79;75.67;2.61;21.72;1955;2006;453.93;1035.43;774.33;0.86;467.71;568.51
9316420;4299850;5525050;144.57;9.22;49.83;142;145.2;2.27;5950;2619;18;1950-11-01;2007-09-30;DE;99.99%;-999;RUECK;ELSAVA;347.99;85.15;147.42;571.38;72.70;3.54;23.76;1955;2006;272.56;890.11;768.76;0.72;332.42;559.14
9316421;4439350;5558950;267.2;11.15;50.17;2424;2422.5;0.06;5611;4014;36;1960-01-01;1990-11-30;DE;99.81%;-999;SCHWUERBITZ;MAIN;480.75;123.99;267.54;1044.32;43.58;5.07;51.35;1960;1989;397.59;886.88;709.83;0.78;371.26;514.11
9316426;4469150;5534950;332.6;11.57;49.95;333;333;0.01;5851;4312;36;1924-11-01;2007-09-30;DE;97.58%;-999;BAYREUTH;ROTER-MAIN;486.42;110.14;333.62;1016.51;36.43;7.53;56.04;1955;2006;300.48;856.57;725.04;0.61;344.69;513.74
9316430;4445050;5560550;278.58;11.23;50.19;713;715.2;0.31;5595;4071;36;1976-01-01;1978-12-31;DE;99.91%;-999;UNTERLANGENSTADT;RODACH;521.18;110.50;280.09;793.59;59.33;3.69;36.98;1976;1978;400.91;866.83;696.89;-0.23;330.73;496.95
9316433;4443550;5566150;288.39;11.21;50.23;255;256.9;0.76;5539;4056;36;1953-11-01;1983-10-31;DE;100.00%;-999;HORB;STEINACH;492.97;164.32;288.59;865.53;50.44;5.99;43.57;1955;1982;449.21;900.09;676.52;0.7;397.65;504.69
